category,brand,name,price_eur,rating_count,specs,image_url
SSD,Western Digital,Western Digital WD_BLACK SN8100,1352.99,1,"{""Cache"":""4096 MB"",""Capacity"":""4 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.338"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN8100,348.99,3,"{""Cache"":""1024 MB"",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.349"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg
SSD,Western Digital,Western Digital WD Blue SN5000,246.95,8,"{""Cache"":"""",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.123"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/8b610f0ec032392a7b1007b5dbe0925d.256p.jpg
SSD,Western Digital,Western Digital Black SN770,306.77,122,"{""Cache"":"""",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.153"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/5ab53f4ea70381a66686c52d0b6e05a6.256p.jpg
SSD,Western Digital,Western Digital WD Blue SN5000,187.11,5,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.187"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/fcf73d393a43493ce7f07fd77e50ac5b.256p.jpg
SSD,Western Digital,Western Digital WD Green SN3000,238.99,2,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.239"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/f7ef0967f1ceb8bb467e4a8b1344a401.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN8100 w/Heatsink,1839.0,0,"{""Cache"":"""",""Capacity"":""8 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.230"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/5a9ebbe0c04a953c5c5fac1e9f2987fe.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN8100,2706.99,0,"{""Cache"":"""",""Capacity"":""8 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.338"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/d80534121073b9abba87fdef3117873e.256p.jpg
SSD,Western Digital,Western Digital WD_Black SN850X w/Heatsink,294.14,11,"{""Cache"":""2048 MB"",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.147"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/57d6e2928f2118c8f26100caf36ab606.256p.jpg
SSD,Western Digital,Western Digital Green,43.19,10,"{""Cache"":"""",""Capacity"":""120 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.360"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/16e490191e3922cbc119692b49421bba.256p.jpg
